Rank,Name,Position,ADP,Total Points
328,Travis d'Arnaud,C,289,
329,MacKenzie Gore,SP,344,
330,Michael Busch,"1B,3B",344.7,
331,Alex Verdugo,"CF,LF,RF",344.7,
332,Luis Gil,SP,290.5,
333,A.J. Minter,RP,345,
334,Brendan Donovan,"1B,2B,3B,DH,LF,RF",346,
335,Jose Siri,CF,348.3,
336,Casey Mize,SP,348.7,
337,Danny Jansen,"C,DH",350,
338,Jake Fraley,"LF,RF,DH",351.7,
339,Alex Kirilloff,"1B,DH,LF,RF",352.7,
340,Hector Neris,RP,353.7,
341,Tyler Wells,SP,354.7,
342,Jake Rogers,"C,DH",306,
343,Orlando Arcia,SS,357,
344,Jason Adam,RP,357.7,
345,Sal Frelick,"CF,LF,RF",358,
346,Clayton Kershaw,SP,310.5,
347,Kirby Yates,RP,311,
348,DJ LeMahieu,"1B,2B,3B",358.7,
349,Dane Dunning,"SP,RP",359.3,
350,Javier Baez,SS,360,
351,Mitch Haniger,"DH,LF,RF",361.7,
352,David Robertson,RP,363.7,
353,Jose Caballero,"2B,3B,SS",366,
354,Harrison Bader,CF,366,
355,Ty France,"1B,DH",366,
356,Sean Manaea,"SP,RP",366.3,
357,Tanner Houck,SP,323,
358,Jose Quintana,SP,369.7,
359,Brady Singer,SP,328,
360,Erick Fedde,SP,370.3,
361,Griffin Canning,SP,370.7,
362,Orion Kerkering,RP,329,
363,Shea Langeliers,C,371,
364,Charlie Blackmon,"RF,DH",330,
365,Kyle Gibson,SP,331,
366,Gavin Lux,"2B,LF,OF",372.7,
367,Zack Littell,"SP,RP",373.3,
368,Josh Bell,"1B,DH",374,
369,Reese Olson,SP,374,
370,Garrett Whitlock,"SP,RP",374.7,
371,Tim Anderson,SS,376,
372,James McArthur,RP,338,
373,Emmet Sheehan,SP,377.3,
374,Dean Kremer,SP,377.3,
375,Yimi Garcia,RP,343.5,
376,Joey Meneses,"1B,DH",380.7,
377,Wilmer Flores,"1B,3B,DH",381.7,
378,Joc Pederson,"LF,DH",388.7,
379,Robbie Ray,SP,348.5,
380,Brendan Rodgers,"2B,DH",348.5,
